Greek mythology;Roman mythology;The New Testament;The Old Testament;Saints;Historical figures;Occupation;Occupation + Nationality;Nationality;Women of different countries;Personification;Animals;Other
Pygamalion;;;;;Johann Gottfried von Aschhausen, Bishop of Bamberg and Würzburg;song-sheet seller;;;;;;
Pygmalion;;;;;Johann Jakob Scheuchzer;spinner;;;;;;
Pyramus;;;;;Johannes Hallius;sportsman;;;;;;
Pyrrha;;;;;Johannes Polyander van Kerckhoven;stable-man;;;;;;
Pythius;;;;;John Barefoot;stone marker;;;;;;
Queen Arete;;;;;John Gonson;stonemason;;;;;;
Rhadamanthys;;;;;John III Sobieski, King of Poland and Grand Duke of Lithuania;strawberry seller;;;;;;
Rhea;;;;;John Locke;street seller;;;;;;
Salmacis;;;;;John Pym;street trader;;;;;;
Scylla;;;;;John Selden;surveyors;;;;;;
Semele;;;;;John Smith;sutler;;;;;;
Silenus;;;;;John Spottiswood, Archbishop of St Andrews;swineherd;;;;;;
Sisyphus;;;;;John Taylor;tailors;;;;;;
Sostratus;;;;;John Tradescant the elder;taskmasters;;;;;;
Stellio;;;;;John Tradescant the younger;tax collector;;;;;;
Stratonice;;;;;John Williams, Archbishop of York;toy seller;;;;;;
Styx;;;;;John de Gavarelle;trader;;;;;;
Syphax;;;;;John of Nassau the elder;trumpeter;;;;;;
Syrinx;;;;;Joshua Ward;turner;;;;;;
Tantalus;;;;;Josina Hamels;undertaker;;;;;;
Telemachos;;;;;Julius Caesar;valet;;;;;;
Telemachus;;;;;Julius II;vinegar seller;;;;;;
Telephos;;;;;Junius Juvenal;viscount;;;;;;
Telethusa;;;;;Justus Lipsius;waitress;;;;;;
Tereus;;;;;Karl I Ludwig;warder;;;;;;
Terpischore;;;;;Kenelm Digby;warrior;;;;;;
Terpsichore;;;;;Khufu;weaver;;;;;;
Tethys;;;;;King Charles I;wet-nurse;;;;;;
Thalia;;;;;King Charles IX;wharf workers;;;;;;
Theseus;;;;;King Charles X of Sweden;workman;;;;;;
Thetis;;;;;King Dyer;writer;;;;;;
Thisbe;;;;;King Ferdinand II;writing ink seller;;;;;;
Tiresias;;;;;King Henri II;;;;;;;
Tityos;;;;;King Henry VIII;;;;;;;
Tityrus;;;;;King John;;;;;;;
Tityus;;;;;King Latinus;;;;;;;
Tmolus;;;;;King Mausolus;;;;;;;
Triptolemus;;;;;King Nebuchadnezzar II;;;;;;;
UIlysses;;;;;King Ptolemy;;;;;;;
Urania;;;;;L. Torquatus;;;;;;;
Zephyrus;;;;;Laevinus Torrentius;;;;;;;
Zeus;;;;;Lars Porsena;;;;;;;
bacchante;;;;;Laura de' Dianti;;;;;;;
centaur;;;;;Leo IV;;;;;;;
daughter of Antiphates, King of the Laestrygones;;;;;Leonard Plukenet;;;;;;;
dragon Ladon;;;;;Leopold I;;;;;;;
echnida;;;;;Leopold Wilhelm;;;;;;;
faun;;;;;Li Bai;;;;;;;
fauness;;;;;Li Mi;;;;;;;
gallant;;;;;Lothar von Metternich, Archbishop and Elector of Trier;;;;;;;
gryffin;;;;;Louis XIII;;;;;;;
harpy;;;;;Louis XIV;;;;;;;
hippocampus;;;;;Louis de Lorraine prince de Phalsbourg;;;;;;;
ichthyocentaurs;;;;;Louis de Lorraine, Duke of Joyeuse;;;;;;;
king Evander;;;;;Louis de Marillac, Marshal of France;;;;;;;
lion-headed sea-god Proteus;;;;;Louisa Juliana of Nassau;;;;;;;
lotus-eaters;;;;;Louise Françoise, Duchess de la Vallière;;;;;;;
maenads;;;;;Louise de Lorraine, Queen of Henri III of France;;;;;;;
myrmidons;;;;;Louise-Marie Seguier;;;;;;;
nereid;;;;;Lucius Brutus;;;;;;;
queen from the Greek;;;;;Lucretius;;;;;;;
river god;;;;;Maarten de Vos;;;;;;;
river god Numicus;;;;;Manius Curius Dentatus;;;;;;;
river goddess;;;;;Mantegna;;;;;;;
satyr;;;;;Marcellius;;;;;;;
satyress;;;;;Marco Antonio de Dominis;;;;;;;
siren;;;;;Marcus Aurelius;;;;;;;
triton;;;;;Marcus Furius Camillus;;;;;;;
tritoness;;;;;Marcus Gheeraerts;;;;;;;
;;;;;Marguerite Queen of Navarre;;;;;;;
;;;;;Marie de Médicis;;;;;;;
;;;;;Marquard Freher;;;;;;;
;;;;;Marquis d'Effiat;;;;;;;
;;;;;Martin Luther;;;;;;;
;;;;;Mary I;;;;;;;
;;;;;Mary of Modena;;;;;;;
;;;;;Matthew Wren, Bishop of Ely;;;;;;;
;;;;;Matthias I, Holy Roman Emperor;;;;;;;
;;;;;Maurice, Landgrave of Hesse-Cassel;;;;;;;
;;;;;Maurice, Prince of Orange;;;;;;;
;;;;;Maximilian I, Elector of Bavaria;;;;;;;
;;;;;Maximilian II Emanuel, duke of Bavaria;;;;;;;
;;;;;Maximilian, Holy Roman Emperor;;;;;;;
;;;;;Melchior Klesel, archbishop of Vienna;;;;;;;
;;;;;Michelangelo;;;;;;;
;;;;;Moll Hackabout;;;;;;;
;;;;;Mucius Scaevola;;;;;;;
;;;;;Nebuchadnezzar;;;;;;;
;;;;;Nebuchadnezzar II;;;;;;;
;;;;;Nicolas Potier de Novion;;;;;;;
;;;;;Nicolaus Petri van Deventer;;;;;;;
;;;;;Nicole de Lorraine;;;;;;;
;;;;;Nicolo da Ponte, Doge of Venice;;;;;;;
;;;;;Oliver Cromwell;;;;;;;
;;;;;Otto Henry, Count of Schwarzenberg;;;;;;;
;;;;;Patrick Lyon, first Earl of Strathmore;;;;;;;
;;;;;Paulus Merula;;;;;;;
;;;;;Peter Paul Rubens;;;;;;;
;;;;;Philip Howard, first earl of Arundel and Surrey;;;;;;;
;;;;;Philip Sidney;;;;;;;
;;;;;Philipp Melanchthon;;;;;;;
;;;;;Philipp, Count of Oettingen;;;;;;;
;;;;;Philippus Nutius;;;;;;;
;;;;;Philips William, Prince of Orange;;;;;;;
;;;;;Piero Strozzi;;;;;;;
;;;;;Pierre L'Ermite;;;;;;;
;;;;;Pierre de La Ramée;;;;;;;
;;;;;Pieter Breughel the Younger;;;;;;;
;;;;;Pieter Bruegel;;;;;;;
;;;;;Pieter van Foreest;;;;;;;
;;;;;Pietro Aretino;;;;;;;
;;;;;Pietro Francavilla;;;;;;;
;;;;;Pietro Vettori;;;;;;;
;;;;;Pietro da Cortona;;;;;;;
;;;;;Plato;;;;;;;
;;;;;Plutarch;;;;;;;
;;;;;Poet Virgil;;;;;;;
;;;;;Pope;;;;;;;
;;;;;Pope Alexander VII;;;;;;;
;;;;;Pope Clement VII;;;;;;;
;;;;;Pope Honorius III;;;;;;;
;;;;;Pope Innocent IX;;;;;;;
;;;;;Pope Innocent X;;;;;;;
;;;;;Pope Pius V;;;;;;;
;;;;;Pope Sixtus V;;;;;;;
;;;;;Prester John, King of Ethiopia;;;;;;;
;;;;;Prince Edward;;;;;;;
;;;;;Prince Henry the eight, King of England;;;;;;;
;;;;;Prince Henry the seaventh;;;;;;;
;;;;;Prince Maximillian of Bavaria;;;;;;;
;;;;;Priscus;;;;;;;
;;;;;Queen Anne;;;;;;;
;;;;;Queen Christina of Sweden;;;;;;;
;;;;;Ranuccio II Farnese;;;;;;;
;;;;;René II;;;;;;;
;;;;;Richard Bernard;;;;;;;
;;;;;Richard Grafton;;;;;;;
;;;;;Richard I;;;;;;;
;;;;;Richard II;;;;;;;
;;;;;Richard III;;;;;;;
;;;;;Richard Rock;;;;;;;
;;;;;Richard the 2 King of England;;;;;;;
;;;;;Roger L'Estrange;;;;;;;
;;;;;Roman Emperor;;;;;;;
;;;;;Roman consul Regulus;;;;;;;
;;;;;Roman emperor Domitian;;;;;;;
;;;;;Roman pro-consul Sergius Paulus;;;;;;;
;;;;;Sarah Mapp;;;;;;;
;;;;;Sarah, Lady Garrard;;;;;;;
;;;;;Saskia van Uylenburgh;;;;;;;
;;;;;Scipio;;;;;;;
;;;;;Scipio Africanus;;;;;;;
;;;;;Seneca;;;;;;;
;;;;;Sennacherib;;;;;;;
;;;;;Sextus Tarquinius;;;;;;;
;;;;;Silvanus Morgan;;;;;;;
;;;;;Sir Cloudesley Shovel;;;;;;;
;;;;;Sir Dudley Carleton;;;;;;;
;;;;;Sir George Croke;;;;;;;
;;;;;Sir Henry Guildford;;;;;;;
;;;;;Sir Isaac Newton;;;;;;;
;;;;;Sir John Chamber;;;;;;;
;;;;;Sir Marmaduke Constable;;;;;;;
;;;;;Sir Richard Hutton;;;;;;;
;;;;;Sir Thomas Smith;;;;;;;
;;;;;Sixtus V;;;;;;;
;;;;;Sophocles;;;;;;;
;;;;;Sophonisba;;;;;;;
;;;;;Stefano della Bella;;;;;;;
;;;;;Steven Blankaert, Dutch physician;;;;;;;
;;;;;Tancred;;;;;;;
;;;;;Tarquin;;;;;;;
;;;;;Tarquinius;;;;;;;
;;;;;Tarquinius Priscus;;;;;;;
;;;;;The great Shun;;;;;;;
;;;;;The right noble Prince Edward the 4th King of England;;;;;;;
;;;;;The right noble Prince Henry the 4th King of England;;;;;;;
;;;;;The right valiant Prince Richard surnamed Coeur-de-Lion King of England;;;;;;;
;;;;;Thomas Bodley;;;;;;;
;;;;;Thomas Chaloner;;;;;;;
;;;;;Thomas Flatman;;;;;;;
;;;;;Thomas Howard, 14th Earl of Arundel;;;;;;;
;;;;;Thomas Howard, Earl of Arundel;;;;;;;
;;;;;Thomas Morton, Bishop of Durham;;;;;;;
;;;;;Thomas Osborne, Duke of Leeds;;;;;;;
;;;;;Thomas Tresham;;;;;;;
;;;;;Thomas Wentwordt;;;;;;;
;;;;;Théodore de Bèze;;;;;;;
;;;;;Tiberius Gracchus;;;;;;;
;;;;;Titian;;;;;;;
;;;;;Tristan de Rostaing;;;;;;;
;;;;;Ulisse Aldrovandi;;;;;;;
;;;;;Umbricius;;;;;;;
;;;;;Vincent Stochove;;;;;;;
;;;;;Vincenz Muschinger, council to Rudolph II;;;;;;;
;;;;;Vincenzo Giustiniani;;;;;;;
;;;;;Violante, daughter of Palma Vecchio;;;;;;;
;;;;;Virgil;;;;;;;
;;;;;Volumnia;;;;;;;
;;;;;Wang Zhi;;;;;;;
;;;;;Wenceslaus Hollar;;;;;;;
;;;;;Willem Hessels van Est;;;;;;;
;;;;;William Ashhurst;;;;;;;
;;;;;William Brouncker;;;;;;;
;;;;;William Holder;;;;;;;
;;;;;William I;;;;;;;
;;;;;William I (The Silent), Prince of Orange;;;;;;;
;;;;;William II;;;;;;;
;;;;;William Laud;;;;;;;
;;;;;William Salmon;;;;;;;
;;;;;Yang Guifei;;;;;;;
;;;;;bawd (Mother Needham);;;;;;;
;;;;;bishop Melchior Pyrnesius de Pyrn;;;;;;;
;;;;;count de la Tour et Tassis;;;;;;;
;;;;;countess de la Tour et Tassis;;;;;;;
;;;;;de Tour et Tassis;;;;;;;
;;;;;emperor Mathias;;;;;;;
;;;;;emperor Matthias;;;;;;;
;;;;;general Nicanor;;;;;;;
;;;;;high priest Ruben;;;;;;;
;;;;;king Edmund;;;;;;;
;;;;;navigator Francis Drake;;;;;;;
;;;;;orator Giovanni Pietro Maffei;;;;;;;
;;;;;physician William Cole;;;;;;;
;;;;;preacher Jacobus Chimarrhaeus;;;;;;;
;;;;;wyf van Iacob van Leyden;;;;;;;
