link;named_entity1;named_entity2;named_entity3;named_entity4;named_entity5;named_entity6;named_entity7;named_entity8;named_entity9;named_entity10;named_entity11;named_entity12;named_entity13;named_entity14;named_entity15;named_entity16;named_entity17;named_entity18;named_entity19;named_entity20;named_entity21
https://www.britishmuseum.org/collection/object/P_2AA-a-57-78;Stone sawyer;figure;;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_2AA-a-49-34;Neptune;fish;man;fisherman;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_D-7-208;Drinkers;peasant;man;man;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_X-4-56;Christ;;;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_1968-1018-1-237;Virgin;donkey;Christ;St Joseph;horse;man;Herod's soldiers;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_E-4-189;Christ;mother;woman;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_L-83-102;angel;;;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_D-7-118;farmer;;;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_V-9-39;arts of spinning;geometry;;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_X-1-36;Virgin;Christ;;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_2AA-a-71-119;Henry Frederick, Prince of Wales;;;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_D-7-184;fisherman;fish;;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_V-4-32;Noah;figure;ram;man;cow;camel;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_1968-1018-1-186;Jeremiah;God the Father;Assyrians;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_R-3-54;Salome;St John the Baptist;servant;executioner;;;;;;;;;;;;;;;;;
